,loss,c1,c2,E1,E2,eta
0,0.0056420287453343276,10.099999,10.0999975,0.90000033,-0.9000003,0.8
1,0.004182864768839691,10.146833,10.168315,0.8058451,-0.80038464,0.8
2,0.003830132190763916,10.177461,10.228358,0.72611004,-0.70443463,0.8
3,0.002944944170058933,10.211537,10.287045,0.64959717,-0.62670016,0.8
4,0.002282412124483739,10.2456875,10.345134,0.5653698,-0.5766673,0.8
5,0.0016976809918759573,10.278685,10.402357,0.47845986,-0.54496545,0.8067739
6,0.0012489381094388091,10.304699,10.457367,0.3968988,-0.5309142,0.8253183
7,0.0008906557208000722,10.307438,10.496302,0.33149558,-0.5185564,0.8697358
8,0.0006674386635202706,10.314597,10.538145,0.29306105,-0.5230153,0.90930283
9,0.0014206351413717114,10.326671,10.586664,0.27123064,-0.5437379,0.93876374
10,0.0019494273098351828,10.346884,10.645995,0.26177225,-0.574425,0.95476234
11,0.0020888381082307408,10.37612,10.714068,0.26502946,-0.6126139,0.9559642
12,0.002026223720693734,10.411289,10.788128,0.27724147,-0.64995414,0.9461842
13,0.001806977996370158,10.45151,10.866174,0.2963796,-0.6855278,0.9259346
14,0.0012902911195144802,10.495694,10.945582,0.32221484,-0.7118302,0.89848936
15,0.0007327447558871216,10.542884,11.025131,0.3557157,-0.72411174,0.86912864
16,0.0005853283056012007,10.578414,11.096837,0.3912999,-0.7164114,0.84845066
17,0.0008673169776211131,10.594911,11.153569,0.42467135,-0.68757266,0.8484232
18,0.0007807499819260833,10.59664,11.198537,0.45356113,-0.6436511,0.86440796
19,0.00041594952365558405,10.592675,11.239273,0.47591674,-0.59316325,0.8859755
20,0.00035507840819188913,10.592714,11.282216,0.49055234,-0.5419571,0.9038936
21,0.0004977099881150801,10.622443,11.335817,0.49794653,-0.5048083,0.90235037
22,0.0005133271878081959,10.6719475,11.398232,0.49856165,-0.48489475,0.88474244
23,0.00033265348661853434,10.720145,11.458716,0.49343356,-0.47073415,0.8692161
24,0.0004064505130660782,10.764874,11.516597,0.48464295,-0.46679673,0.8572644
25,0.00048512271852577967,10.801576,11.5675955,0.47373644,-0.4698072,0.85620826
26,0.0004950841915924196,10.829755,11.611494,0.4621911,-0.47867954,0.8663566
27,0.0003776882022677036,10.85348,11.651898,0.45135498,-0.49501005,0.8808655
28,0.0003047959770123831,10.875472,11.691547,0.442031,-0.51703554,0.8953228
29,0.00022640489841142458,10.894828,11.729833,0.4330493,-0.5380253,0.9106632
30,0.00024043220864474108,10.924915,11.773229,0.42638412,-0.5636185,0.91703165
31,0.0002643154555293502,10.9675255,11.823042,0.4225505,-0.59298265,0.91151375
32,0.00020642042439429322,11.008063,11.872696,0.4208332,-0.615236,0.90696007
33,0.0002599815701161727,11.044353,11.921794,0.42041373,-0.628829,0.90422356
34,0.0002818276823797561,11.076365,11.970395,0.42076272,-0.6332096,0.9036152
35,0.00028830595493643,11.104291,12.018403,0.42160577,-0.6287176,0.90513486
36,0.0002764549882701626,11.128521,12.065733,0.42303064,-0.61659104,0.9085032
37,0.00025101400215549863,11.149599,12.112388,0.42538637,-0.59879977,0.9132541
38,0.00021235304300057945,11.163534,12.155469,0.4291041,-0.5730354,0.92331517
39,0.00016380864296464516,11.18266,12.200544,0.43483746,-0.54950726,0.9284085
40,0.00020475428065355636,11.2147875,12.251104,0.44253486,-0.5353439,0.92201173
41,0.00014340721319417116,11.250115,12.302603,0.45073736,-0.52623004,0.912816
42,0.0001528907123282337,11.279284,12.350466,0.4575558,-0.51655215,0.90914917
43,0.00017924144916249958,11.301077,12.394216,0.46414167,-0.50587845,0.9124857
44,0.00015814641926549774,11.318021,12.435066,0.47007084,-0.49669078,0.9203354
45,0.00013838433852863787,11.336374,12.475898,0.47533786,-0.49293402,0.9271672
46,0.00016427014137179797,11.36376,12.520149,0.47975585,-0.49964154,0.92636204
47,0.00013917016764136518,11.39566,12.566217,0.48234227,-0.51226944,0.9214101
48,0.00012825954464546263,11.423075,12.609512,0.48218694,-0.52265096,0.9206799
